Row Id,Row Id.,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner,NUMCHLD,INCOME,gender,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT,TARGET_B,TARGET_D
40,314,1,0,0,0,1,1.0,4.0,0,8.0,0.0,0.0,0.0,0.0,27.0,40.0,10.0,10.0,31.0,6.0,10.0,0.0,0.0
41,316,0,1,0,0,1,1.0,3.0,1,8.0,296.0,280.0,315.0,17.0,64.0,52.0,5.0,2.0,20.0,7.0,2.260869565,1.0,2.0
42,328,0,1,0,0,1,1.0,1.0,0,8.0,299.0,247.0,315.0,25.0,22.0,47.0,20.0,13.0,30.0,4.0,11.75,0.0,0.0
43,331,1,0,0,0,0,1.0,5.0,0,8.0,675.0,374.0,402.0,7.0,24.0,26.0,16.0,16.0,37.0,9.0,13.0,1.0,16.0
44,346,0,0,0,1,1,1.0,1.0,1,0.0,998.0,273.0,354.0,19.0,72.0,90.0,10.0,5.0,31.0,12.0,6.0,1.0,5.0
45,347,0,1,0,0,1,1.0,4.0,0,8.0,568.0,184.0,216.0,40.0,21.0,32.0,12.0,12.0,31.0,3.0,10.66666667,0.0,0.0
46,350,0,0,1,0,0,1.0,4.0,0,5.0,620.0,388.0,405.0,16.0,52.0,107.0,15.0,11.0,35.0,6.0,9.727272727,0.0,0.0
47,356,0,1,0,0,1,1.0,4.0,0,0.0,314.0,165.0,207.0,48.0,76.0,204.0,25.0,25.0,37.0,4.0,12.0,1.0,25.0
48,357,0,0,0,1,0,1.0,5.0,0,8.0,4347.0,410.0,454.0,8.0,33.0,42.0,10.0,10.0,31.0,5.0,6.0,1.0,7.0
49,368,0,0,0,1,0,1.0,3.0,0,8.0,470.0,300.0,324.0,18.0,29.0,74.0,20.0,20.0,31.0,5.0,14.8,1.0,20.0
50,369,0,0,0,1,1,1.0,4.0,1,1.0,835.0,310.0,364.0,22.0,70.0,126.0,6.0,6.0,34.0,8.0,4.344827586,1.0,4.0
51,382,0,0,0,1,1,1.0,4.0,0,5.0,1772.0,418.0,492.0,3.0,99.0,288.0,21.0,15.0,17.0,5.0,13.71428571,1.0,19.0
52,383,0,0,0,1,0,1.0,1.0,1,8.0,1000.0,468.0,506.0,6.0,28.0,39.0,10.0,5.0,29.0,3.0,6.5,0.0,0.0
53,386,0,0,0,1,1,1.0,6.0,0,8.0,4138.0,787.0,835.0,1.0,37.0,82.0,13.0,13.0,29.0,6.0,11.71428571,1.0,12.0
54,387,0,0,0,1,1,1.0,4.0,1,3.0,1229.0,359.0,490.0,10.0,39.0,35.0,15.0,15.0,34.0,13.0,11.66666667,0.0,0.0
55,406,0,0,1,0,0,1.0,5.0,1,9.0,4135.0,805.0,880.0,9.0,65.0,82.0,15.0,15.0,37.0,12.0,8.2,0.0,0.0
56,409,0,0,0,1,1,1.0,4.0,1,5.0,971.0,347.0,375.0,12.0,50.0,84.0,10.0,7.0,30.0,6.0,6.461538462,0.0,0.0
57,416,0,0,1,0,1,1.0,2.0,0,3.0,596.0,279.0,353.0,21.0,68.0,94.0,7.0,5.0,29.0,2.0,4.7,1.0,5.0
58,423,0,0,0,1,1,1.0,4.0,1,7.0,1060.0,344.0,390.0,15.0,82.0,191.0,15.0,15.0,32.0,6.0,9.55,1.0,12.0
59,428,0,0,0,1,1,1.0,4.0,1,1.0,634.0,344.0,362.0,13.0,58.0,88.0,15.0,15.0,31.0,12.0,8.0,1.0,15.0
60,430,0,1,0,0,1,1.0,6.0,1,8.0,567.0,379.0,421.0,8.0,21.0,38.0,12.0,6.0,28.0,3.0,7.6,1.0,10.0
61,437,1,0,0,0,1,1.0,7.0,0,8.0,1046.0,521.0,576.0,1.0,30.0,66.0,12.0,12.0,28.0,4.0,11.0,1.0,15.0
62,438,0,0,0,1,0,1.0,2.0,1,4.0,761.0,485.0,511.0,2.0,51.0,93.0,12.0,11.0,32.0,1.0,9.3,1.0,12.0
63,451,0,0,0,1,1,1.0,2.0,1,8.0,1772.0,592.0,688.0,0.0,15.0,15.0,15.0,15.0,37.0,5.0,15.0,0.0,0.0
64,467,0,1,0,0,0,1.0,5.0,0,8.0,436.0,194.0,245.0,33.0,30.0,67.0,15.0,15.0,33.0,7.0,13.4,0.0,0.0
65,470,0,0,0,1,0,1.0,6.0,0,8.0,2483.0,627.0,668.0,2.0,49.0,98.0,50.0,50.0,30.0,4.0,16.33333333,0.0,0.0
66,475,0,0,0,1,1,1.0,6.0,0,9.0,1591.0,675.0,693.0,6.0,68.0,115.0,15.0,10.0,19.0,9.0,11.5,0.0,0.0
67,486,0,0,0,1,1,1.0,4.0,1,1.0,1366.0,250.0,276.0,32.0,55.0,91.0,10.0,5.0,28.0,4.0,6.5,0.0,0.0
68,488,0,0,0,1,1,1.0,6.0,1,8.0,5790.0,1124.0,1045.0,3.0,20.0,22.0,10.0,7.0,31.0,2.0,7.333333333,1.0,7.0
69,491,0,0,1,0,1,1.0,6.0,1,8.0,1165.0,563.0,607.0,2.0,69.0,187.0,25.0,25.0,28.0,6.0,14.38461539,1.0,23.0
70,494,1,0,0,0,0,1.0,3.0,0,8.0,660.0,308.0,329.0,10.0,53.0,48.0,14.0,7.0,33.0,0.0,6.857142857,0.0,0.0
71,498,1,0,0,0,1,1.0,2.0,1,8.0,982.0,549.0,533.0,10.0,66.0,165.0,14.0,14.0,31.0,7.0,10.3125,0.0,0.0
72,511,0,0,1,0,1,1.0,5.0,1,8.0,1732.0,603.0,653.0,0.0,13.0,20.0,20.0,20.0,36.0,5.0,20.0,1.0,20.0
73,514,0,0,1,0,1,1.0,4.0,0,8.0,1019.0,389.0,473.0,15.0,21.0,26.0,16.0,16.0,37.0,5.0,13.0,0.0,0.0
74,519,1,0,0,0,1,1.0,4.0,0,8.0,597.0,459.0,475.0,4.0,23.0,27.0,10.0,10.0,31.0,5.0,6.75,1.0,7.0
75,531,1,0,0,0,0,1.0,1.0,0,9.0,1516.0,597.0,668.0,4.0,61.0,128.0,40.0,40.0,29.0,14.0,21.33333333,0.0,0.0
76,536,0,1,0,0,1,1.0,2.0,0,4.0,702.0,324.0,357.0,11.0,52.0,70.0,10.0,10.0,33.0,3.0,6.3636363639999995,1.0,10.0
77,539,0,1,0,0,1,1.0,1.0,0,4.0,578.0,376.0,399.0,13.0,86.0,121.0,5.0,3.0,30.0,9.0,3.457142857,0.0,0.0
78,546,0,1,0,0,1,1.0,2.0,1,7.0,992.0,524.0,563.0,6.0,63.0,100.0,20.0,3.0,21.0,6.0,7.692307692000001,1.0,3.0
79,553,0,0,0,1,1,1.0,4.0,0,6.0,643.0,363.0,423.0,12.0,56.0,68.0,7.0,4.0,28.0,4.0,4.533333333,1.0,5.0
82,572,0,0,1,0,1,1.0,5.0,1,8.0,1080.0,521.0,529.0,8.0,21.0,20.0,15.0,15.0,32.0,5.0,10.0,1.0,10.0
83,578,1,0,0,0,1,1.0,4.0,1,8.0,834.0,371.0,408.0,10.0,35.0,92.0,37.0,37.0,37.0,5.0,23.0,0.0,0.0
84,585,0,0,1,0,1,1.0,4.0,0,5.0,437.0,354.0,356.0,16.0,83.0,194.0,10.0,6.0,28.0,4.0,4.2173913039999995,1.0,5.0
85,589,0,0,0,1,0,1.0,5.0,1,8.0,2124.0,526.0,554.0,2.0,28.0,49.0,20.0,10.0,31.0,2.0,8.166666667000001,0.0,0.0
86,600,0,0,0,1,0,1.0,2.0,1,8.0,1505.0,359.0,445.0,12.0,47.0,77.0,11.0,8.0,28.0,11.0,7.7,0.0,0.0
87,601,0,0,0,1,1,1.0,4.0,1,8.0,1531.0,305.0,351.0,17.0,19.0,30.0,30.0,30.0,37.0,5.0,30.0,1.0,50.0
88,608,0,0,0,1,0,1.0,2.0,1,8.0,1631.0,331.0,400.0,14.0,24.0,31.0,10.0,10.0,28.0,6.0,7.75,0.0,0.0
89,614,0,0,0,1,1,1.0,5.0,1,8.0,1473.0,332.0,370.0,14.0,32.0,70.0,15.0,15.0,28.0,2.0,10.0,0.0,0.0
90,630,0,1,0,0,1,1.0,2.0,1,1.0,639.0,209.0,259.0,36.0,72.0,146.0,12.0,11.0,36.0,5.0,7.3,0.0,0.0
91,631,0,0,1,0,0,1.0,6.0,1,8.0,1305.0,530.0,597.0,5.0,16.0,28.0,25.0,25.0,30.0,15.0,14.0,0.0,0.0
92,638,1,0,0,0,1,1.0,3.0,0,8.0,457.0,253.0,285.0,25.0,68.0,98.0,5.0,3.0,32.0,9.0,4.9,1.0,4.0
93,641,0,0,1,0,1,1.0,4.0,1,3.0,806.0,347.0,354.0,15.0,76.0,119.0,15.0,10.0,31.0,10.0,10.81818182,1.0,10.0
94,659,0,1,0,0,0,1.0,4.0,0,3.0,349.0,302.0,324.0,19.0,55.0,66.0,7.0,5.0,30.0,9.0,4.714285714,0.0,0.0
95,675,1,0,0,0,1,1.0,4.0,1,3.0,525.0,277.0,278.0,24.0,52.0,157.0,10.0,7.0,28.0,6.0,7.1363636360000005,1.0,7.0
96,679,0,1,0,0,1,1.0,4.0,1,8.0,306.0,181.0,204.0,38.0,21.0,45.0,35.0,35.0,29.0,7.0,22.5,0.0,0.0
97,685,0,1,0,0,0,1.0,2.0,0,5.0,698.0,335.0,348.0,14.0,59.0,276.0,15.0,13.0,33.0,10.0,11.5,1.0,15.0
98,693,0,0,0,1,1,1.0,4.0,1,8.0,910.0,245.0,370.0,28.0,72.0,182.0,15.0,10.0,33.0,4.0,9.1,0.0,0.0
99,695,1,0,0,0,0,1.0,5.0,1,1.0,550.0,296.0,304.0,20.0,101.0,154.0,20.0,20.0,23.0,3.0,14.0,0.0,0.0
100,700,0,0,0,1,1,1.0,6.0,1,8.0,2635.0,516.0,535.0,4.0,19.0,30.0,30.0,30.0,37.0,5.0,30.0,0.0,0.0
101,722,0,0,1,0,0,1.0,3.0,1,5.0,422.0,290.0,319.0,18.0,66.0,132.0,16.0,10.0,31.0,5.0,9.428571429,1.0,14.0
102,725,0,0,0,1,1,1.0,6.0,1,8.0,4218.0,711.0,762.0,0.0,54.0,43.0,5.0,3.0,29.0,6.0,3.307692308,0.0,0.0
103,728,0,0,1,0,0,1.0,4.0,1,8.0,567.0,279.0,327.0,20.0,24.0,48.0,16.0,16.0,35.0,2.0,12.0,0.0,0.0
104,736,1,0,0,0,1,1.0,7.0,0,8.0,1586.0,762.0,823.0,0.0,21.0,26.0,16.0,16.0,37.0,5.0,13.0,0.0,0.0
105,738,0,1,0,0,0,1.0,1.0,0,8.0,745.0,438.0,446.0,5.0,54.0,63.0,12.0,12.0,26.0,2.0,9.0,0.0,0.0
106,740,0,0,0,1,1,1.0,6.0,1,8.0,578.0,258.0,315.0,28.0,22.0,40.0,20.0,20.0,37.0,7.0,20.0,1.0,20.0
107,750,0,0,0,1,0,1.0,5.0,0,8.0,3361.0,719.0,760.0,2.0,17.0,25.0,25.0,25.0,37.0,5.0,25.0,0.0,0.0
108,759,0,1,0,0,0,1.0,5.0,0,8.0,625.0,368.0,489.0,6.0,34.0,30.0,10.0,7.0,32.0,14.0,6.0,0.0,0.0
109,780,1,0,0,0,1,1.0,4.0,0,8.0,1115.0,349.0,465.0,17.0,21.0,30.0,20.0,20.0,33.0,15.0,15.0,1.0,25.0
110,785,0,0,0,1,1,3.0,6.0,1,8.0,2968.0,590.0,631.0,2.0,74.0,161.25,15.0,15.0,19.0,11.0,5.201612903,0.0,0.0
111,796,1,0,0,0,1,1.0,2.0,1,7.0,645.0,377.0,362.0,12.0,82.0,120.0,10.0,10.0,17.0,6.0,4.285714286,1.0,8.0
112,803,0,0,0,1,1,1.0,3.0,0,8.0,869.0,304.0,410.0,10.0,26.0,35.0,10.0,10.0,32.0,6.0,8.75,1.0,5.0
114,808,0,0,0,1,0,1.0,5.0,0,8.0,2194.0,464.0,506.0,6.0,43.0,119.0,30.0,22.0,23.0,1.0,10.81818182,1.0,22.0
115,818,0,0,1,0,1,1.0,3.0,0,0.0,250.0,164.0,228.0,47.0,57.0,102.0,7.0,5.0,28.0,4.0,4.434782609,1.0,5.0
116,821,0,0,0,1,1,1.0,1.0,0,4.0,1723.0,366.0,427.0,3.0,67.0,370.0,20.0,13.0,36.0,2.0,12.33333333,0.0,0.0
117,836,0,1,0,0,1,1.0,5.0,1,5.0,573.0,315.0,367.0,15.0,70.0,145.0,15.0,10.0,37.0,2.0,9.0625,1.0,10.0
118,838,0,0,1,0,1,1.0,3.0,0,9.0,840.0,522.0,561.0,9.0,80.0,204.0,9.0,7.0,30.0,3.0,6.181818182000001,1.0,5.0
119,839,0,0,1,0,0,1.0,3.0,0,5.0,622.0,339.0,377.0,13.0,87.0,241.0,17.0,15.0,23.0,5.0,13.38888889,1.0,17.0
120,840,0,0,0,1,1,1.0,2.0,1,0.0,913.0,239.0,288.0,36.0,69.0,304.0,50.0,50.0,37.0,4.0,25.33333333,0.0,0.0
121,853,0,0,0,1,0,1.0,7.0,0,8.0,2827.0,616.0,620.0,0.0,40.0,61.0,19.0,19.0,30.0,11.0,12.2,1.0,22.0
122,875,0,1,0,0,1,1.0,4.0,1,8.0,711.0,465.0,495.0,4.0,48.0,46.0,10.0,10.0,31.0,10.0,5.1111111110000005,1.0,6.0
123,893,0,0,0,1,1,1.0,4.0,1,8.0,2810.0,477.0,541.0,12.0,29.0,34.0,6.0,6.0,31.0,1.0,4.8571428569999995,0.0,0.0
124,917,0,0,0,1,1,1.0,4.0,1,8.0,1969.0,531.0,563.0,11.0,16.0,20.0,20.0,20.0,36.0,5.0,20.0,1.0,20.0
125,924,0,0,0,1,0,1.0,1.0,1,0.0,2582.0,148.0,207.0,52.0,52.0,150.0,50.0,50.0,37.0,3.0,30.0,0.0,0.0
126,925,0,0,0,1,1,1.0,4.0,1,8.0,3850.0,583.0,667.0,3.0,33.0,50.0,16.0,16.0,31.0,10.0,12.5,1.0,14.0
127,929,0,1,0,0,1,1.0,6.0,1,5.0,953.0,383.0,388.0,20.0,49.0,64.0,10.0,10.0,33.0,4.0,6.4,0.0,0.0
128,930,0,1,0,0,0,2.0,2.0,1,8.0,623.0,379.0,388.0,6.0,43.0,37.0,9.0,5.0,29.0,3.0,3.7,0.0,0.0
129,946,0,0,1,0,1,1.0,4.0,0,8.0,921.0,493.0,527.0,0.0,77.0,214.0,15.0,11.0,29.0,7.0,8.230769231,0.0,0.0
130,950,0,0,0,1,0,1.0,5.0,0,8.0,1007.0,330.0,366.0,15.0,18.0,25.0,25.0,25.0,37.0,5.0,25.0,0.0,0.0
133,960,0,0,0,1,1,1.0,4.0,1,9.0,1523.0,374.0,376.0,9.0,72.0,94.0,10.0,10.0,31.0,11.0,6.266666667000001,1.0,10.0
134,963,0,0,0,1,1,1.0,3.0,0,8.0,422.0,250.0,320.0,20.0,24.0,44.0,12.0,12.0,29.0,3.0,11.0,0.0,0.0
135,969,0,1,0,0,1,1.0,7.0,0,8.0,504.0,311.0,315.0,15.0,23.0,20.0,15.0,15.0,36.0,7.0,10.0,0.0,0.0
136,997,0,0,1,0,1,1.0,4.0,0,8.0,437.0,313.0,363.0,10.0,15.0,20.0,20.0,20.0,37.0,5.0,20.0,1.0,20.0
137,1035,0,1,0,0,0,1.0,1.0,1,4.0,383.0,296.0,336.0,16.0,32.0,36.0,16.0,16.0,36.0,14.0,12.0,0.0,0.0
138,1039,0,1,0,0,0,1.0,1.0,1,8.0,332.0,399.0,403.0,4.0,24.0,29.0,11.0,8.0,29.0,6.0,7.25,0.0,0.0
139,1040,1,0,0,0,1,1.0,4.0,0,8.0,561.0,268.0,292.0,24.0,25.0,44.0,10.0,10.0,32.0,2.0,8.8,0.0,0.0
140,1060,0,0,0,1,0,1.0,2.0,1,1.0,761.0,236.0,285.0,25.0,79.0,205.0,10.0,5.0,28.0,14.0,5.0,0.0,0.0
141,1069,0,0,1,0,1,1.0,7.0,1,8.0,3984.0,1500.0,1125.0,10.0,35.0,101.0,24.0,21.0,36.0,4.0,20.2,0.0,0.0
142,1070,0,0,1,0,1,1.0,4.0,0,8.0,869.0,541.0,602.0,0.0,69.0,114.0,7.0,6.0,35.0,9.0,5.181818182,1.0,6.0
143,1079,0,1,0,0,0,1.0,3.0,0,2.0,674.0,259.0,327.0,19.0,36.0,50.0,12.0,12.0,30.0,7.0,8.333333332999999,1.0,12.0
144,1102,0,0,0,1,1,1.0,3.0,0,6.0,2441.0,474.0,512.0,12.0,33.0,48.0,12.0,11.0,35.0,15.0,9.6,0.0,0.0
145,1104,0,0,0,1,1,1.0,4.0,1,8.0,2505.0,502.0,580.0,3.0,29.0,50.0,20.0,15.0,20.0,3.0,12.5,1.0,15.0
146,1105,1,0,0,0,0,1.0,1.0,1,3.0,497.0,267.0,325.0,18.0,66.0,119.0,10.0,6.0,29.0,4.0,5.666666667,1.0,7.0
147,1113,0,0,0,1,1,1.0,5.0,1,7.0,535.0,363.0,386.0,0.0,53.0,115.0,35.0,35.0,33.0,13.0,23.0,0.0,0.0
148,1115,1,0,0,0,1,1.0,6.0,0,8.0,1311.0,363.0,410.0,19.0,15.0,20.0,20.0,20.0,37.0,5.0,20.0,1.0,20.0
149,1117,0,0,1,0,1,1.0,4.0,1,9.0,2130.0,724.0,791.0,7.0,73.0,189.0,25.0,20.0,36.0,2.0,15.75,0.0,0.0
150,1129,0,0,0,1,0,1.0,1.0,1,8.0,1596.0,171.0,218.0,40.0,47.0,91.0,6.0,5.0,17.0,1.0,5.055555556,1.0,5.0
151,1133,1,0,0,0,1,1.0,5.0,1,8.0,1011.0,441.0,483.0,6.0,29.0,36.0,7.0,7.0,33.0,4.0,6.0,0.0,0.0
152,1136,0,1,0,0,1,1.0,4.0,0,5.0,627.0,433.0,407.0,4.0,56.0,115.0,12.0,4.0,34.0,10.0,6.764705882,0.0,0.0
153,1158,0,0,1,0,1,1.0,4.0,1,8.0,702.0,457.0,510.0,2.0,105.0,183.0,15.0,5.0,17.0,1.0,7.625,0.0,0.0
154,1161,0,1,0,0,0,1.0,1.0,0,8.0,409.0,294.0,337.0,18.0,55.0,67.0,6.0,6.0,30.0,6.0,3.722222222,1.0,5.0
155,1165,0,0,0,1,1,1.0,4.0,0,7.0,1749.0,624.0,685.0,6.0,59.0,128.0,7.0,5.0,28.0,3.0,5.12,1.0,5.0
156,1179,0,1,0,0,1,1.0,4.0,0,4.0,679.0,432.0,448.0,3.0,77.0,140.5,10.0,10.0,37.0,8.0,5.403846154,1.0,7.0
157,1181,0,0,0,1,1,1.0,4.0,1,8.0,824.0,290.0,375.0,11.0,49.0,41.0,5.0,5.0,30.0,3.0,3.727272727,1.0,1.0
158,1183,0,0,0,1,1,1.0,7.0,0,8.0,1324.0,568.0,599.0,4.0,36.0,68.0,10.0,5.0,31.0,13.0,5.666666667,1.0,25.0
159,1186,0,1,0,0,1,1.0,4.0,1,5.0,466.0,356.0,375.0,8.0,75.0,159.0,25.0,5.0,28.0,13.0,4.076923077,0.0,0.0
160,1191,1,0,0,0,1,1.0,6.0,0,9.0,3538.0,759.0,817.0,4.0,135.0,555.0,15.0,10.0,18.0,6.0,6.098901099,1.0,10.0
161,1192,0,0,0,1,0,1.0,3.0,0,8.0,1692.0,388.0,440.0,8.0,57.0,104.0,12.0,12.0,30.0,5.0,8.666666667000001,1.0,11.0
162,1209,1,0,0,0,1,1.0,4.0,0,8.0,2088.0,560.0,635.0,6.0,17.0,42.0,22.0,22.0,29.0,7.0,21.0,0.0,0.0
163,1213,1,0,0,0,0,2.0,4.0,0,3.0,931.0,435.0,477.0,5.0,43.0,109.0,10.0,9.0,31.0,8.0,6.4117647060000005,0.0,0.0
164,1236,1,0,0,0,1,1.0,6.0,0,5.0,1430.0,336.0,457.0,19.0,58.0,74.0,10.0,6.0,34.0,8.0,6.166666667,1.0,6.0
165,1241,0,0,0,1,0,1.0,2.0,1,8.0,2809.0,657.0,718.0,1.0,21.0,36.0,10.0,8.0,28.0,1.0,7.2,0.0,0.0
166,1256,0,1,0,0,0,1.0,2.0,0,8.0,610.0,360.0,393.0,14.0,64.0,83.0,15.0,10.0,32.0,22.0,9.222222222000001,0.0,0.0
167,1259,0,0,0,1,1,1.0,4.0,1,8.0,5177.0,845.0,892.0,6.0,24.0,26.0,16.0,16.0,36.0,5.0,13.0,0.0,0.0
168,1260,0,0,0,1,1,1.0,4.0,0,8.0,2962.0,613.0,709.0,0.0,64.0,111.0,15.0,15.0,28.0,13.0,10.09090909,1.0,10.0
169,1261,1,0,0,0,1,1.0,4.0,1,8.0,409.0,244.0,285.0,25.0,43.0,90.0,25.0,25.0,26.0,4.0,22.5,0.0,0.0
170,1263,1,0,0,0,0,1.0,4.0,1,8.0,1172.0,480.0,534.0,7.0,31.0,73.0,15.0,15.0,30.0,6.0,10.42857143,0.0,0.0
171,1272,1,0,0,0,1,1.0,4.0,1,3.0,489.0,290.0,314.0,20.0,68.0,123.0,15.0,5.0,28.0,7.0,6.473684211,0.0,0.0
172,1274,0,1,0,0,1,1.0,4.0,1,4.0,718.0,308.0,332.0,21.0,68.0,159.0,5.0,5.0,30.0,5.0,3.6136363639999995,1.0,4.0
173,1285,0,0,0,1,1,1.0,4.0,0,1.0,1348.0,361.0,454.0,14.0,98.0,214.5,15.0,10.0,19.0,3.0,6.9193548389999995,1.0,10.0
174,1299,0,0,0,1,1,1.0,4.0,1,0.0,414.0,190.0,197.0,40.0,76.0,383.0,15.0,13.0,29.0,7.0,10.07894737,0.0,0.0
175,1312,1,0,0,0,0,1.0,2.0,0,5.0,379.0,238.0,250.0,25.0,77.0,137.0,10.0,5.0,29.0,3.0,4.151515152,0.0,0.0
176,1320,0,1,0,0,0,1.0,3.0,0,7.0,1122.0,441.0,545.0,12.0,83.0,275.0,17.0,15.0,37.0,6.0,10.57692308,1.0,15.0
